"BAD";"LOAN";"MORTDUE";"VALUE";"REASON";"JOB";"YOJ";"DEROG";"DELINQ";"CLAGE";"NINQ";"CLNO";"DEBTINC"
1;4900;25597;23031;"HomeImp";"Other";5;0;0;101.74676644;0;8;33.243156978
0;4900;170986;245300;"DebtCon";"Sales";7;0;0;131.93333333;0;22;34.7734055545
1;4900;65576;65774;"HomeImp";"Other";6;1;2;61.64250608;1;14;40.590910018
0;5000;65444;34846;"HomeImp";"Other";7;0;0;173.5744163;1;20;33.354652626
0;5000;90059;113714;"HomeImp";"ProfExe";7;0;0;193.63644686;0;28;25.897316482
1;5000;40000;70500;"HomeImp";"Mgr";0.4;0;0;61.766666667;2;8;34.7734055545
1;5000;63125;126500;"HomeImp";"Office";3;0;0;100.3;0;14;34.7734055545
1;5000;100000;129693.5;"HomeImp";"Mgr";13;0;0;173.5744163;1;20;34.7734055545
1;5000;16600;25250;"HomeImp";"Other";6;0;0;88.7;1;3;34.7734055545
1;5000;22700;34225;"HomeImp";"Other";4;0;0;74.633333333;3;9;34.7734055545
1;5000;6000;38575;"HomeImp";"Self";7;0;1;335.03333333;3;42;34.7734055545
1;5000;65444;74500;"HomeImp";"Other";19;0;0;173.5744163;1;20;34.7734055545
0;5000;72517;86250;"DebtCon";"Mgr";19;0;1;300.36666667;1;24;34.7734055545
0;5000;26037;35000;"HomeImp";"ProfExe";12;0;0;182.63333333;0;13;34.7734055545
0;5000;39000;50340;"HomeImp";"Office";10;0;0;179.83333333;1;19;34.7734055545
0;5000;65444;26550;"DebtCon";"Other";1.7;0;0;276.96666667;1;14;34.7734055545
0;5000;74225;89640;"DebtCon";"ProfExe";0.3;0;0;173.5744163;1;20;34.7734055545
0;5000;78565;98500;"DebtCon";"ProfExe";24;0;0;51.766666667;3;14;34.7734055545
1;5000;10171;26809;"HomeImp";"Office";13;3;6;228.3;0;24;34.7734055545
1;5000;85165;107940;"HomeImp";"Mgr";6;5;3;122.76666667;5;28;34.7734055545
1;5000;68000;75616;"DebtCon";"ProfExe";0.1;0;0;131.86666667;0;30;34.7734055545
1;5000;71571;85100;"DebtCon";"ProfExe";1.4;0;1;82.133333333;0;13;34.7734055545
1;5000;28000;36810;"DebtCon";"Other";2;1;0;222.2;1;6;34.7734055545
1;5000;81748;89000;"DebtCon";"ProfExe";14;1;2;144.06666667;2;17;34.7734055545
0;5000;44674;59375;"HomeImp";"Office";10;0;0;178.6925087;1;19;26.448197463
0;5000;80153;97275;"DebtCon";"Other";1;0;0;120.67506316;2;10;37.512708409
0;5000;66435;82819;"HomeImp";"Other";2;0;0;125.13062556;0;14;42.183538672
1;5100;129319;141875;"HomeImp";"Sales";7;1;0;157.85980209;0;36;25.650741224
0;5100;66834;87361;"HomeImp";"Other";0;2;0;290.03410799;0;6;38.766985071
1;5200;65444;9500;"DebtCon";"Other";1;0;1;81.1;1;2;34.7734055545
0;5300;73698;84427;"DebtCon";"Other";4;0;0;173.5744163;1;20;19.131201179
1;5300;26908;36078;"HomeImp";"Other";7;0;0;302.35870946;0;8;39.196985402
0;5300;44993;50673;"HomeImp";"Office";7;0;0;184.74276716;1;18;27.906122726
1;5300;51000;64000;"HomeImp";"Mgr";10;1;0;98.333333333;0;12;34.7734055545
0;5300;60826;80826;"HomeImp";"Mgr";10;0;1;212.89174607;0;25;38.591494028
0;5300;50934;62957;"HomeImp";"Office";21;0;0;197.24195728;0;20;19.350505633
0;5400;65444;65474;"HomeImp";"Office";1;0;0;40.709849004;0;4;37.848771035
0;5400;86922;119846;"HomeImp";"ProfExe";5;0;0;185.07634726;1;28;26.354889295
0;5400;65814;85848;"HomeImp";"Other";4;0;0;122.9402886;0;15;44.092325682
1;5500;65444;43132;"HomeImp";"Other";7;0;0;173.5744163;1;20;34.7734055545
1;5500;65444;13770;"HomeImp";"Mgr";5;0;1;167.36666667;1;8;34.7734055545
0;5500;87438;116679;"HomeImp";"ProfExe";6;0;0;186.42441602;1;27;28.417530896
0;5500;78059;78179;"DebtCon";"Other";5;0;0;173.5744163;1;20;20.679313582
1;5500;37368;48502;"HomeImp";"Mgr";9;0;2;48.995845002;0;10;33.126483967
0;5500;65444;66251;"HomeImp";"Office";1;0;0;43.722336946;0;3;41.452043532
1;5500;85845;122205;"DebtCon";"ProfExe";5;0;0;172.21327665;1;26;32.676640875
0;5600;53793;66379;"HomeImp";"Office";22;0;0;206.09913412;0;19;18.369540527
0;5700;100934;111496;"HomeImp";"Office";23;0;0;117.49959288;0;12;38.750562668
0;5700;65444;69172;"HomeImp";"Office";1;0;0;48.853667057;0;3;38.773685963
0;5800;79296;86885;"DebtCon";"Mgr";19;0;1;307.9748816;1;23;39.959108765
0;5800;172595;250155;"DebtCon";"Sales";7;0;0;126.40098356;0;21;43.20775979
1;5900;65444;28000;"DebtCon";"Self";1;2;1;36.766666667;1;8;34.7734055545
0;5900;70973;77989;"HomeImp";"Other";7;0;0;120.37941429;0;24;41.442500462
0;5900;74187;78976;"HomeImp";"Other";9;0;1;118.44249103;0;24;40.110407425
0;6000;65444;69492;"DebtCon";"Other";7;0;0;173.5744163;1;20;32.977197226
0;6000;95232;115977;"HomeImp";"Office";22;0;0;149.0229081;1;12;37.954336913
1;6000;65000;94355;"DebtCon";"Other";26;1;3;69.3;1;34;34.7734055545
1;6000;33600;89000;"HomeImp";"Other";2;0;0;140.93333333;1;20;34.7734055545
1;6000;16878;25850;"DebtCon";"Mgr";1;0;1;218.6;5;34;34.7734055545
0;6000;43000;57460;"HomeImp";"Other";1.6;1;0;101.5;1;13;34.7734055545
0;6000;53500;64790;"DebtCon";"Other";0.1;0;2;105.4;3;18;34.7734055545
0;6000;14000;61493;"HomeImp";"Office";23;0;0;321.63333333;1;13;34.7734055545
1;6000;65444;95500;"HomeImp";"Mgr";6;1;2;129.9;1;22;34.7734055545
0;6000;65444;53190;"HomeImp";"Other";0;0;0;173.5744163;0;0;15.174415003
0;6100;65444;47400;"DebtCon";"Other";7;0;0;173.5744163;1;20;34.7734055545
0;6100;47604;54966;"HomeImp";"Other";5;0;0;70.69532973;0;18;24.76674453
1;6100;62751;95617;"HomeImp";"Other";1;0;0;138.64686318;1;13;31.757270694
0;6100;48300;53388;"HomeImp";"Office";9;0;0;178.48960216;1;19;26.72002818
0;6100;78753;95433;"DebtCon";"ProfExe";0;0;0;173.5744163;1;20;28.925117417
0;6300;65444;72890;"HomeImp";"Office";1;0;0;41.250113587;0;3;39.198068218
1;6300;65875;76000;"DebtCon";"Mgr";0.8;2;0;84;1;12;34.7734055545
0;6300;92659;117352;"HomeImp";"ProfExe";6;0;0;199.01192718;0;27;26.520049519
0;6300;69357;73726;"HomeImp";"Sales";3;2;0;163.28393319;1;22;42.407814245
0;6400;47251;58157;"HomeImp";"Other";0;0;0;104.79246836;1;13;36.416886965
0;6400;76732;78084;"HomeImp";"Other";8;0;0;109.19302137;0;26;37.964554318
0;6400;28041;33438;"DebtCon";"Other";1;1;0;10.42564285;10;6;29.753700283
0;6400;57887;74776;"HomeImp";"Mgr";3;0;1;126.32864372;0;22;28.756345434
0;6500;47949;53102;"HomeImp";"Office";9;0;0;180.84124987;1;19;27.839006664
0;6500;63144;76754;"HomeImp";"Mgr";2;0;2;129.0777116;0;23;29.055433128
1;6500;13600;89000;"HomeImp";"Other";14;2;5;115.36666667;1;16;34.7734055545
1;6500;48000;61000;"DebtCon";"Other";1;1;0;97.299756098;6;38;34.7734055545
0;6500;55000;88300;"HomeImp";"Office";29;0;0;234.4;1;17;34.7734055545
0;6500;65444;70886;"DebtCon";"Other";7;0;0;173.5744163;1;20;23.47088075
1;6500;183860;208910;"DebtCon";"ProfExe";4;6;0;86.452226941;6;29;69.8005248
0;6500;58689;72557;"DebtCon";"Other";0;0;1;94.00805286;2;18;34.898413066
0;6700;55113;56486;"HomeImp";"Other";4;0;0;84.417030462;0;17;23.642853829
1;6700;60301;70543;"HomeImp";"ProfExe";5;0;0;195.78086332;0;19;32.397593406
1;6700;27510;42495;"DebtCon";"Other";2;0;2;171.52648922;3;27;41.428597508
0;6700;48430;64358;"HomeImp";"Other";0;1;0;108.35174747;1;13;38.894194746
0;6700;29662;36195;"HomeImp";"Office";1;0;0;112.13708066;1;30;38.52863281
0;6700;134616;155034;"HomeImp";"ProfExe";13;1;0;215.42240638;0;19;19.493871984
0;6800;136951;160306;"HomeImp";"ProfExe";11;0;0;219.7356734;1;18;20.885093499
0;6800;78292;86959;"DebtCon";"Other";3;0;0;173.5744163;1;20;18.927211638
0;6800;139578;154602;"HomeImp";"ProfExe";12;0;0;201.96083432;0;18;22.325828788
0;6800;65444;72310;"HomeImp";"Office";1;0;0;48.818836477;0;3;40.787393229
0;6800;75964;88754;"DebtCon";"Mgr";19;0;1;298.70048215;0;23;39.107501643
0;6900;97662;110046;"HomeImp";"Office";24;0;0;111.12339734;0;11;37.253150854
0;6900;65444;57067;"DebtCon";"Other";7;0;0;173.5744163;1;20;14.370985949
0;6900;51384;84689;"DebtCon";"Other";4;0;0;224.2470369;3;29;30.526150723
0;7000;98779;124827;"HomeImp";"Other";9;0;0;421.541928;1;49;40.828872934
0;7000;73873;111781;"DebtCon";"Office";0;0;0;231.79991346;0;38;19.273579455
0;7000;74795;99149;"HomeImp";"Other";1;0;1;175.57144277;0;32;34.449664673
0;7000;58339;72432;"HomeImp";"Mgr";10;0;1;197.33839792;0;24;39.843087337
1;7000;142251;157250;"HomeImp";"Other";5;0;0;87.833333333;4;21;34.7734055545
1;7000;27290;63500;"HomeImp";"Office";6;0;0;173.5744163;1;20;34.7734055545
1;7000;46000;66660;"DebtCon";"Office";1;0;1;138.23333333;0;9;34.7734055545
0;7000;58843;75300;"HomeImp";"Other";1.5;0;0;103.66666667;0;7;34.7734055545
0;7000;7000;31200;"DebtCon";"Other";5;0;0;265.06666667;0;12;34.7734055545
0;7000;46225;59000;"DebtCon";"Other";16;0;4;219.13333333;0;37;34.7734055545
1;7000;53194;81150;"HomeImp";"ProfExe";14;7;0;183.63333333;2;28;34.7734055545
1;7000;83000;97635;"HomeImp";"Other";5.6;3;0;141;0;10;34.7734055545
0;7000;64255;68389;"HomeImp";"Other";4;0;0;80.152430908;2;19;40.561860543
0;7000;129959;161301;"HomeImp";"ProfExe";11;0;0;209.98629953;0;18;21.917952264
1;7100;54000;74800;"DebtCon";"Mgr";7.5;1;1;71;4;18;34.7734055545
0;7100;98490;114457;"HomeImp";"Office";23;0;0;116.10008714;0;11;35.601894251
0;7100;65444;40185;"HomeImp";"Other";3;0;0;272.9226847;1;25;41.916899529
0;7100;25896;33580;"DebtCon";"Other";1;0;0;29.856365166;9;7;28.271474159
0;7100;120176;180104;"DebtCon";"Other";8;0;0;221.60732419;0;18;32.674358967
0;7100;58639;72412;"DebtCon";"ProfExe";14;0;0;120.03346455;0;20;43.678746661
1;7200;54600;65000;"DebtCon";"Other";14;2;1;98.433333333;11;9;34.7734055545
0;7200;57912;84806;"HomeImp";"Other";15;0;0;241.51424984;0;35;35.062675655
1;7300;58671;87975;"HomeImp";"Mgr";3;0;0;74.066666667;1;16;34.7734055545
1;7300;60971.32;77375;"DebtCon";"Other";2;0;0;173.5744163;1;20;34.7734055545
0;7300;55456;86766;"HomeImp";"ProfExe";6;0;0;240.05677145;2;23;31.724698502
0;7400;138033;163162;"HomeImp";"ProfExe";11;0;0;224.84704249;0;19;21.057574023
0;7400;48924;86612;"DebtCon";"Other";4;0;0;207.76841442;4;30;29.937917829
1;7400;71576;89068;"DebtCon";"Sales";0;0;0;94.782230694;0;17;42.803421995
0;7500;84479;104571;"DebtCon";"ProfExe";23;0;0;47.832851338;3;14;33.075010372
1;7500;33600;50125;"DebtCon";"Other";2;0;0;146.93333333;0;18;34.7734055545
1;7500;65444;40150;"HomeImp";"Other";5;0;0;173.5744163;1;0;34.7734055545
1;7500;60000;87830;"HomeImp";"Other";5;0;0;153.26666667;2;16;34.7734055545
0;7500;49100;85650;"HomeImp";"Other";18;0;0;178.33466667;0;29;34.7734055545
0;7500;67778;83368;"DebtCon";"ProfExe";15;0;0;227.29208976;0;17;24.091770363
0;7500;57213;92458;"HomeImp";"Office";28;0;0;243.15711917;1;16;23.992353351
0;7600;58622;77726;"HomeImp";"Other";15;0;0;249.63376067;2;36;34.882066439
0;7600;49926;58588;"DebtCon";"Other";5;0;1;64.660106948;1;16;35.051896774
0;7600;65444;40341;"HomeImp";"Other";3;0;0;265.02047536;1;25;43.300105312
0;7700;14776;32287;"DebtCon";"Other";7;0;0;173.5744163;1;20;34.880462318
0;7700;56622;70136;"DebtCon";"Mgr";7;0;4;120.7645092;1;11;38.132345766
0;7700;20887;26958;"DebtCon";"Other";0;0;0;17.460749903;10;6;30.233504742
0;7700;76056;83643;"HomeImp";"Other";22;0;0;353.19562851;0;47;28.544528867
0;7800;44000;57500;"DebtCon";"Other";11;0;0;95.366666667;0;23;34.7734055545
0;7800;58364;66688;"DebtCon";"Other";3;0;2;114.51215796;3;18;37.929273869
0;7800;48200;59000;"DebtCon";"Other";23;0;0;274.96666667;3;29;34.7734055545
0;7800;65444;30320;"DebtCon";"Other";2;0;0;295.11342067;0;13;23.245673006
0;7800;109000;123500;"DebtCon";"Self";6;0;1;174.46666667;0;19;34.7734055545
0;7900;44682;57285;"DebtCon";"Other";7;1;0;110.07185689;1;25;25.409016713
0;7900;40827;55757;"DebtCon";"Other";14;0;0;87.603462439;0;11;31.850563903
0;7900;65444;67081;"HomeImp";"Office";1;0;0;59.081541425;0;4;41.077878217
0;7900;78532;122952;"HomeImp";"Office";29;0;0;332.64504738;1;37;35.311552628
0;8000;61565;87624;"DebtCon";"ProfExe";14;0;0;203.9971364;0;17;23.562565007
0;8000;82547;105361;"DebtCon";"ProfExe";24;0;0;52.59326412;2;13;32.160922592
0;8000;70546;81272;"DebtCon";"Sales";4;0;0;119.06692204;0;31;33.361586301
1;8000;47306;68350;"HomeImp";"Other";9;0;0;82.633333333;0;20;34.7734055545
0;8000;69341;86900;"DebtCon";"Office";15;0;1;89.266666667;0;9;34.7734055545
0;8000;78720;86800;"DebtCon";"Other";0.1;4;0;173.5744163;0;4;34.7734055545
0;8000;49000;60000;"DebtCon";"Mgr";11;0;0;107.53333333;1;19;34.7734055545
1;8000;36000;115800;"DebtCon";"Other";7;0;0;168.23333333;3;30;34.7734055545
1;8000;92487;113947;"DebtCon";"Other";8;0;3;151.81738872;0;19;26.457524449
0;8000;58006;94930;"HomeImp";"ProfExe";4;0;0;223.20298954;2;24;30.913395837
0;8100;84822;123854;"HomeImp";"Office";31;0;0;340.7444307;2;38;36.205114552
0;8100;66691;82768;"DebtCon";"Other";4;0;0;184.19341758;0;15;32.396509487
0;8100;13179;32981;"DebtCon";"Other";7;0;0;173.5744163;1;20;31.742249284
0;8100;69047;82113;"DebtCon";"Sales";3;0;0;121.41114886;0;30;35.073918357
0;8100;26886;36527;"HomeImp";"ProfExe";12;0;0;188.41982641;0;13;24.865567185
1;8100;28523;39816;"DebtCon";"Other";5;0;0;130.64393328;0;16;37.393526416
0;8100;28187;32584;"DebtCon";"Other";0;1;0;27.048834712;10;7;29.287956831
0;8200;65444;50061;"HomeImp";"Other";10;0;0;296.9016386;1;13;33.632136517
0;8200;101230;120087;"HomeImp";"Other";9;0;0;419.27296549;1;49;40.558271494
0;8200;62603;86782;"DebtCon";"ProfExe";15;0;0;219.56581251;0;18;24.63662135
0;8200;117314;132770;"DebtCon";"Self";4;0;1;176.33454149;0;19;34.55205243
0;8200;72986;87621;"DebtCon";"Office";14;0;1;86.545727017;0;9;24.697430423
0;8200;172497;249071;"DebtCon";"Sales";7;0;0;114.98197436;0;21;41.098025151
0;8200;58536;66546;"DebtCon";"Other";1;0;2;118.39735837;2;17;34.71164955
0;8200;68013;77008;"DebtCon";"ProfExe";8;0;0;49.146922298;1;23;40.792589704
1;8200;47700;60000;"DebtCon";"Other";0.1;0;0;173.5744163;0;0;34.7734055545
0;8200;76268;89166;"HomeImp";"Other";23;0;0;341.8553472;1;46;29.869576644
0;8200;65444;38648;"HomeImp";"Other";7;0;0;302.53018223;1;10;30.445375631
0;8200;120837;176244;"DebtCon";"Other";8;0;0;196.72416054;0;20;34.745743152
0;8200;61821;64832;"HomeImp";"Other";5;0;0;123.28602489;0;34;35.875343986
0;8200;67489;80145;"HomeImp";"Other";2;0;0;104.39650664;0;7;36.912310875
0;8300;57503;72704;"DebtCon";"Other";18;0;0;156.59370755;0;11;33.337118756
0;8300;61213;65798;"HomeImp";"Other";6;0;0;86.296515758;2;20;41.426872232
0;8300;41481;50448;"HomeImp";"Mgr";20;0;1;230.84886345;1;18;35.88829101
0;8300;14601;66143;"HomeImp";"Office";24;0;0;320.23488221;1;12;40.015070568
0;8300;51783;57839;"DebtCon";"Other";3;0;0;96.176673144;0;20;36.210351332
0;8300;47000;78320;"HomeImp";"Other";18;0;0;195.83333333;1;17;34.7734055545
0;8300;59761;75081;"DebtCon";"Other";17;0;0;147.94164245;1;11;31.959227235
1;8300;65444;47244;"HomeImp";"Other";6;0;0;173.5744163;1;20;34.7734055545
0;8300;44783;63424;"HomeImp";"Other";2;0;0;97.900836205;1;12;36.587869801
0;8300;71922;117151;"DebtCon";"Office";2;0;0;246.93475819;1;37;18.156826624
0;8400;75912;95329;"DebtCon";"Mgr";18;0;1;294.16422462;0;24;38.641804544
0;8400;82597;83858;"HomeImp";"Other";25;0;0;350.56813617;1;47;28.91075714
0;8400;41656;51846;"HomeImp";"Office";10;0;0;190.01750256;1;19;25.768965033
0;8400;77144;91532;"DebtCon";"Mgr";19;0;1;311.75718243;1;24;40.912736994
0;8400;60995;78444;"HomeImp";"Mgr";4;0;1;123.7385166;0;23;26.932707601
1;8400;44800;56000;"DebtCon";"Other";0;1;5;314.5;4;42;34.7734055545
0;8400;35240;54314;"DebtCon";"Office";8;0;0;210.58001479;1;22;32.571867291
1;8400;37256;45956;"DebtCon";"Other";1;0;0;214.44323;1;6;31.24524851
0;8500;83157;202962;"HomeImp";"Self";14;0;0;13.68276401;1;8;21.297339233
0;8500;73752;87931;"DebtCon";"Mgr";21;1;1;291.62037844;0;24;39.003140628
0;8500;55100;66900;"DebtCon";"ProfExe";15;0;0;229.26666667;4;32;34.7734055545
0;8500;64665;72376;"HomeImp";"Other";4;0;0;70.934880772;3;20;40.309041225
0;8500;49266;64461;"DebtCon";"Other";22;0;0;264.40802314;3;29;37.976757922
0;8500;50569;60940;"DebtCon";"Mgr";6;0;0;189.94689772;0;22;29.202476735
0;8500;65444;27873;"HomeImp";"Office";21;0;0;190.06187015;0;15;38.375406098
0;8500;47777;78979;"HomeImp";"Other";18;0;0;202.95427654;1;16;34.828647504
0;8500;73208;88588;"DebtCon";"Mgr";10;0;0;114.55258227;0;23;30.082488981
1;8600;36933;42289;"DebtCon";"Mgr";4;0;0;100.61642113;2;26;38.436490085
0;8600;21000;79000;"HomeImp";"ProfExe";21;0;0;239.43333333;0;11;34.7734055545
0;8600;58846;72733;"DebtCon";"ProfExe";14;0;0;233.17160046;3;32;39.775087851
0;8600;57727;70828;"HomeImp";"Other";5;0;0;87.845310974;3;19;41.75352499
0;8600;75464;84263;"HomeImp";"Other";21;0;0;352.65827116;0;47;28.196714905
1;8600;44992;66403;"DebtCon";"Other";8;0;0;172.55155504;1;27;43.875610821
0;8700;57254;86883;"HomeImp";"Other";16;0;0;172.16656274;0;28;25.043436747
0;8700;53073;83415;"DebtCon";"Other";2;0;0;211.26878022;3;29;30.201509456
0;8700;60237;69891;"DebtCon";"Other";3;0;0;321.2748292;0;9;32.280313622
0;8700;30716;84778;"HomeImp";"ProfExe";19;0;0;219.08523561;0;10;23.808894154
0;8700;65444;32855;"HomeImp";"Other";7;0;0;173.5744163;1;20;35.937902683
0;8700;76008;95976;"DebtCon";"ProfExe";0;0;0;173.5744163;1;20;30.022245155
0;8700;52388;64332;"HomeImp";"Other";1;0;0;91.112060841;1;12;36.874927508
0;8700;56904;64122;"DebtCon";"Mgr";5;0;4;119.55547341;2;11;38.695614603
1;8800;12750;89000;"HomeImp";"Office";23;0;0;173.5744163;1;20;34.7734055545
1;8800;2800;18361;"HomeImp";"Other";2;3;1;107.76666667;4;3;34.7734055545
0;8800;51740;60852;"DebtCon";"Other";23;0;0;277.58958861;3;29;39.885483806
0;8800;135899;202788;"DebtCon";"ProfExe";1;0;0;53.767621524;1;23;35.932025066
0;8800;101717;122299;"HomeImp";"Other";11;0;0;402.74048173;1;49;38.421427581
0;8800;65444;32221;"DebtCon";"Other";0;0;0;276.84193488;0;14;24.198678371
0;8800;73765;93917;"DebtCon";"Other";15;0;0;128.85330185;4;15;24.491198608
0;8900;111493;133191;"DebtCon";"Self";6;0;0;159.43269808;0;19;34.3711489
1;8900;60782;100000;"HomeImp";"ProfExe";14;0;8;129.86666667;0;36;34.7734055545
1;8900;64343;84013;"DebtCon";"Other";4;0;0;39.221719253;0;12;35.788437459
0;9000;75453;100646;"DebtCon";"ProfExe";3;0;0;126.30983495;0;26;33.75846632
0;9000;79259;84322;"HomeImp";"Other";22;0;0;359.33227239;1;47;29.671390341
0;9000;93521;126024;"HomeImp";"Other";9;0;0;411.75308126;1;49;41.664281039
0;9000;56930;67557;"DebtCon";"Other";0;0;1;118.69951614;2;18;36.686882044
1;9000;31170;50725;"DebtCon";"Other";16;0;0;93.066666667;0;18;34.7734055545
0;9000;82700;121000;"DebtCon";"Office";9;0;0;131.9;1;22;34.7734055545
0;9000;29000;51740;"DebtCon";"Other";31;0;0;243.2;0;19;34.7734055545
0;9000;55367;79819;"DebtCon";"Office";5;0;0;101.28118497;1;15;27.189212901
0;9100;65444;50391;"DebtCon";"Other";7;0;0;173.5744163;1;20;15.024705832
1;9100;17218;36721;"DebtCon";"Other";8;0;1;115.75209332;3;5;37.479410286
0;9100;48797;67761;"DebtCon";"Mgr";7;0;3;116.97915477;3;11;37.79737881
1;9100;78369;92000;"DebtCon";"Sales";0.2;0;0;180.83333333;3;35;34.7734055545
1;9100;28550;40300;"HomeImp";"Other";5;0;0;109.53563552;7;33;23.082905342
0;9100;65444;74450;"DebtCon";"Other";7;0;0;173.5744163;1;20;23.942516508
1;9200;64900;78000;"DebtCon";"Mgr";10;0;0;122.76666667;2;24;34.7734055545
0;9200;52531;66491;"DebtCon";"Mgr";11;0;0;122.22853426;1;19;32.657628893
0;9200;57375;69040;"DebtCon";"Other";0;0;1;116.41879645;2;18;36.625629459
0;9200;48130;62358;"DebtCon";"Other";15;0;4;219.65713104;0;36;27.617063425
0;9300;79724;105493;"DebtCon";"Mgr";2;0;0;63.43088731;2;23;39.38611808
0;9300;73252;100537;"DebtCon";"ProfExe";2;0;0;99.774527119;0;26;34.514635071
0;9300;75425;109040;"DebtCon";"Office";2;0;0;235.9462106;0;38;17.875259065
0;9300;63566;70551;"DebtCon";"ProfExe";14;0;0;138.33735213;0;19;42.48370297
0;9300;65444;45906;"HomeImp";"Other";7;0;0;92.821714236;1;9;36.141276164
0;9300;59617;67709;"HomeImp";"Other";4;0;1;243.8307278;1;16;35.968280746
0;9300;39307;51680;"DebtCon";"Office";8;0;0;196.0146349;0;23;30.731571704
0;9300;21138;30700;"DebtCon";"Other";3;0;0;173.5744163;1;20;34.7734055545
0;9300;44026;70535;"HomeImp";"Office";12;3;1;245.9;2;29;34.7734055545
0;9300;81986;94513;"DebtCon";"Other";2;3;0;173.5744163;0;4;31.89390379
1;9300;38115;60493;"DebtCon";"Other";14;0;0;91.932632264;0;18;29.633608474
0;9300;21979;39880;"DebtCon";"Other";3;0;0;173.5744163;1;20;38.844089335
0;9300;106449;120066;"DebtCon";"Other";18;0;1;189.91991824;1;15;37.086455086
0;9400;65444;50575;"HomeImp";"Other";7;0;0;99.06951832;1;8;35.9078154
1;9400;52024;89107;"HomeImp";"Office";0;1;0;148.84473761;3;26;36.080031774
0;9400;81596;116738;"HomeImp";"Office";28;0;0;338.62903535;1;38;34.169513676
0;9400;57000;70000;"DebtCon";"Other";4;0;0;179.56666667;2;17;34.7734055545
0;9400;26700;40150;"HomeImp";"Other";9;0;0;80.166666667;0;4;34.7734055545
0;9400;61185;65302;"DebtCon";"Other";1;0;2;117.17100444;2;18;35.611943876
0;9400;61213;70800;"HomeImp";"Other";5;0;0;75.862659733;3;20;39.403812388
0;9400;53756;76077;"HomeImp";"Office";12;2;0;244.11665292;2;29;33.374570631
0;9400;51505;84178;"HomeImp";"Other";19;0;0;202.69796289;0;16;35.530613427
0;9400;53244;62245;"DebtCon";"Other";23;0;0;276.78774402;3;28;37.821851509
0;9400;77410;116693;"DebtCon";"Office";0;0;0;245.08365185;0;37;17.176900657
0;9400;56675;66976;"HomeImp";"Other";6;0;0;128.07164796;0;33;35.033371132
